A1BG	chr19	58345178	58353492
A1CF	chr10	50799409	50885675
A2M	chr12	9067664	9116229
A2ML1	chr12	8822621	8887001
A4GALT	chr22	42692121	42721298
A4GNT	chr3	138123713	138132390
AAAS	chr12	53307456	53324864
AACS	chr12	125065434	125143333
AADAC	chr3	151814073	151828488
AADAT	chr4	170060222	170091699
AAGAB	chr15	67200667	67255195
AAK1	chr2	69457997	69674349
AAMDC	chr11	77821109	77918432
AAMP	chr2	218264129	218270178
AAR2	chr20	36236131	36270918
AARD	chr8	116938207	116944487
AARS2	chr6	44298731	44313347
AARSD1	chr17	42950526	42964498
AASDH	chr4	56338287	56387508
AASDHPPT	chr11	106075501	106098699
AASS	chr7	122064583	122144308
AATF	chr17	36948925	37056871
AATK	chr17	81110487	81166221
ABAT	chr16	8674596	8784575
ABCA1	chr9	104781006	104928155
ABCA10	chr17	69147214	69244846
ABCA12	chr2	214931542	215138626
ABCA13	chr7	48171458	48647497
ABCA2	chr9	137007234	137028915
ABCA3	chr16	2275881	2340746
ABCA4	chr1	93992834	94121148
ABCA5	chr17	69244311	69327244
ABCA6	chr17	69078702	69141895
ABCA7	chr19	1039997	1065572
ABCA8	chr17	68867289	68955392
ABCA9	chr17	68974488	69060949
ABCB1	chr7	87503017	87713323
ABCB10	chr1	229516582	229558707
ABCB11	chr2	168915498	169031324
ABCB4	chr7	87401696	87480435
ABCB6	chr2	219209772	219218994
ABCB7	chrX	75051048	75156732
ABCB8	chr7	151028422	151047782
ABCB9	chr12	122920951	122981649
ABCC1	chr16	15949138	16143257
ABCC10	chr6	43427366	43450427
ABCC2	chr10	99782640	99852594
ABCC3	chr17	50634777	50692253
ABCC4	chr13	95019835	95301475
ABCC5	chr3	183919934	184017939
ABCC6	chr16	16149565	16223522
ABCC9	chr12	21797389	21942543
ABCD1	chrX	153724856	153744755
ABCD2	chr12	39550033	39619803
ABCD3	chr1	94418389	94518666
ABCD4	chr14	74285269	74303055
ABCE1	chr4	145098288	145129524
ABCF1	chr6	30571393	30597179
ABCF2	chr7	151211484	151227205
ABCF3	chr3	184186095	184194012
ABCG1	chr21	42199689	42297244
ABCG2	chr4	88090150	88231628
ABCG5	chr2	43812472	43838865
ABCG8	chr2	43831942	43882988
